ate_num_t,ate_num
ATM168794,0NICA0201
ATM563909,0NIC99100
ATM735352,0NICA0904
ATM630904,0NIC53010
ATM165905,0NICA1401
ATM935047,0NICAJ701
ATM793149,0NICA3106
ATM819433,0NIC53040
ATM411454,0NICAM501
ATM958721,0NICAE401
ATM273495,0NICAA205
ATM946520,0NICA6601
ATM445930,0NIC53004
ATM482678,0NICA0801
ATM504314,0NICAO501
ATM866358,0NICA4105
ATM689198,0NICA6001
ATM130814,0NICAS301
ATM891427,0NICAP901
ATM392849,0NICAO503
ATM881525,0NIC00136
ATM952678,0NIC53055
ATM112163,0NICAY501
ATM173426,0NIC53019
ATM353477,0NICA0905
ATM506435,0NICAU303
ATM825894,0NICAI803
ATM817074,0NIC00131
ATM661416,0NICAX903
ATM299366,0NICA2306
ATM785715,0NICA4404
ATM606597,0NIC99114
ATM381615,0NIC53061
ATM235318,0NICAA701
ATM697512,0NICAQ303
ATM830484,0NICAS003
ATM103396,0NICAI701
ATM217519,0NIC99109
ATM500595,0NIC53049
ATM822354,0NICAO905
ATM358327,0NICA4301
ATM638257,0NICAJ601
ATM745127,0NICA2309
ATM836988,0NICA3103
ATM794617,0NICA1202
ATM910199,0NICAH201
ATM822313,0NICA3305
ATM850436,0NICAG203
ATM621422,0NICAQ301
ATM653465,0NIC53089
ATM193849,0NICA7501
ATM404743,0NICAJ101
ATM201091,0NICA1506
ATM732468,0NICAO904
ATM262585,0NICAU201
ATM311388,0NICA2302
ATM767753,0NICAI905
ATM366943,0NIC00133
ATM299154,0NICAN003
ATM887584,0NICAV803
ATM325932,0NICAH001
ATM765680,0NICA6101
ATM315589,0NIC00148
ATM809372,0NIC00135
ATM740544,0NIC53002
ATM834371,0NICAW101
ATM803300,0NICAH004
ATM710800,0NICAY801
ATM588700,0NIC00125
ATM433697,0NICAA206
ATM310676,0NIC00129
ATM390320,0NICAP001
ATM562665,0NIC53024
ATM280053,0NICAQ201
ATM262090,0NICA0301
ATM976893,0NICA0404
ATM199296,0NICA6503
ATM807020,0NICAQ203
ATM149357,0NICAS101
ATM522661,0NICA0212
ATM234682,0NICAU003
ATM421786,0NICAO701
ATM427762,0NICA4501
ATM787352,0NICAU601
ATM516857,0NICA1603
ATM252947,0NICA4205
ATM745462,0NIC99108
ATM867587,0NICA1203
ATM132173,0NICA2201
ATM850434,0NICA3803
ATM576001,0NICA1801
ATM502106,0NICAC401
ATM978585,0NIC00128
ATM294120,0NICAO001
ATM826110,0NIC53011
ATM157541,0NICA0601
ATM935611,0NICAI906
ATM210068,0NICAP601
ATM367201,0NIC99118
ATM371138,0NIC00126
ATM274620,0NICA2005
ATM276211,0NICAE301
ATM621160,0NICAW103
ATM809673,0NICA3205
ATM179901,0NIC53007
ATM228829,0NICAW601
ATM621160,0NICA1006
ATM177391,0NICAG301
ATM777084,0NICAA401
ATM661101,0NICA1507
