ts_cnt,bank_id,del_flg,srl_num,ratecode,lchg_time,rcre_time,rtlist_num,rtlist_date,lchg_user_id,low_slab_amt,rcre_user_id,high_slab_amt,fxd_crncy_code,var_crncy_code,fxd_crncy_units,slab_crncy_code,var_crncy_units,cust_var_crncy_units,updated_at
0,1,N,1,CSB,2010-02-01T10:20:58,2010-02-01T10:20:58,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,51.95,52.66,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-02-01T10:20:58,2010-02-01T10:20:58,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,52.47,52.66,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-02-01T10:20:58,2010-02-01T10:20:58,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,52.84,52.66,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-02-01T10:20:58,2010-02-01T10:20:58,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,SGD,NPR,1,,52.66,52.66,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-02-01T10:21:09,2010-02-01T10:21:09,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,HKD,NPR,1,,9.43,9.57,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-02-01T10:21:09,2010-02-01T10:21:09,1,2010-02-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,HKD,NPR,1,,9.53,9.57,2024-08-07 06:55:35.894
0,1,N,1,REV,2010-04-01T12:01:08,2010-04-01T12:01:08,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,71.85,71.85,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:01:08,2010-04-01T12:01:08,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,71.55,71.85,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:01:08,2010-04-01T12:01:08,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,70.83,71.85,2024-08-07 06:55:35.894
0,1,N,1,SEL,2010-04-01T12:01:08,2010-04-01T12:01:08,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,USD,NPR,1,,72.15,71.85,2024-08-07 06:55:35.894
0,1,N,1,CSB,2010-04-01T12:01:17,2010-04-01T12:01:17,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,EUR,NPR,1,,95.22,96.81,2024-08-07 06:55:35.894
0,1,N,1,NCB,2010-04-01T12:01:17,2010-04-01T12:01:17,1,2010-04-01T00:00:00.000000,PRAMESHP,0,PRAMESHP,0,EUR,NPR,1,,96.18,96.81,2024-08-07 06:55:35.894
