ADDR_1,ADDR_2,ADDR_3,SDL_ID,SOL_ID,TS_CNT,BANK_ID,BR_CODE,DEL_FLG,DP_CODE,FAB_FLG,MRS_NAME,PIN_CODE,SOL_DESC,WKLY_OFF,BANK_CODE,CITY_CODE,LCHG_TIME,MINOR_AGE,RCRE_TIME,SOL_ALIAS,TIME_ZONE,WKLY_OFF2,CNTRY_CODE,LICENSE_NO,PAN_GIR_NO,STATE_CODE,ENTITY_NAME,REGION_NAME,SOL_CLS_FLG,SOL_NAT_FLG,ABBR_BR_NAME,BOD_SYS_DATE,BR_OPEN_DATE,BR_STAT_CODE,CS_SOL_MESG1,CS_SOL_MESG2,DB_STAT_CODE,EXTERNAL_SOL,LCHG_USER_ID,RCRE_USER_ID,SOL_BOD_DATE,SOL_CLS_DATE,SOL_PRIORITY,ALT1_SOL_DESC,CUT_OVER_TIME,DIVISION_NAME,PROFIT_CENTER,TR_ENABLE_FLG,ABBR_BANK_NAME,ATM_JOB_STATUS,BR_FREE_CODE_1,BR_FREE_CODE_2,BR_FREE_CODE_3,BR_FREE_CODE_4,BR_FREE_CODE_5,BR_FREE_CODE_6,BR_FREE_CODE_7,BR_FREE_CODE_8,BR_FREE_CODE_9,CLG_CENTRE_NUM,DDN_WARN_LEVEL,EXTN_CNTR_CODE,HIGH_VALUE_SOL,MICR_BANK_CODE,PREF_LANG_CODE,SOL_EOD_STATUS,BATCH_OPER_DATE,BR_FREE_CODE_10,CTS_ENABLED_FLG,DB_STAT_USER_ID,HOME_CRNCY_CODE,LOCAL_IMAGE_FLG,MICR_CENTRE_FLG,PARTITION_ALIAS,REFERRAL_SET_ID,STOP_CLG_FT_FLG,TDS_CIRCLE_NAME,TREA_FREE_TEXT1,TREA_FREE_TEXT2,UNIFORM_BR_CODE,DB_INT_STAT_CODE,MENU_DISABLE_FLG,MICR_BRANCH_CODE,MICR_CENTRE_CODE,STOP_CASH_FT_FLG,STOP_XFER_FT_FLG,TAX_DEDN_DETAILS,BRANCH_IP_ADDRESS,CS_SOL_NATL_MESG1,CS_SOL_NATL_MESG2,DESTRY_INVT_CLASS,LAST_SI_EXEC_DATE,TDS_CERT_NUM_CODE,TYPE_OF_CASH_ACCT,CIRCLE_OFFICE_NAME,NEXT_CUST_NUM_CODE,PDC_INSTL_RUN_DATE,PREF_LANG_SOL_DESC,TR_HOME_CRNCY_CODE,BRANCH_REF_PORT_NUM,REROUTE_STP_ALLOWED,DATE_OF_INSTALLATION,DESTRY_INVT_LOCATION,FC_VAULT_LIMIT_IN_HC,HC_VAULT_LIMIT_IN_HC,NUM_OF_TIMES_IBR_GEN,OSP_MAX_OUT_STD_DAYS,INSTRMNT_WISE_REG_ALWD,RECEIVE_ALL_IMAGES_FLG,SOL_RESTARTABILITY_FLG,SAME_DAY_REV_TO_IBR_FLG,CONSOL_VAULT_LIMIT_IN_HC,DDN_WARN_LEVEL_EXCP_CODE,VALUE_DATING_ON_HOLIDAYS,INSTRMNT_ENCODE_BATCH_NUM,INSTRMNT_ENCODE_BLOCK_NUM,LAST_INT_CALC_DATE_FOR_SB,USER_CLG_DR_LIM_EXCP_CODE,EXT_EOD_NOT_COMP_EXCP_CODE,USER_CASH_DR_LIM_EXCP_CODE,USER_XFER_DR_LIM_EXCP_CODE,PROXY_NOT_SQUARED_EXCP_CODE,PROXY_PEND_VERIFN_EXCP_CODE,ALL_EXT_TRANS_PROC_EXCP_CODE,updated_at
SITAPAILA,,,ALL,G4,83223,1,G4,N,,N,,,SITAPAILA BRANCH,7,BOAN,KATH,2024-07-26T21:28:37,18,2017-11-26T14:42:18,164,NPT,0,,,,BAGMA,,,Y,C,SIT,2018-11-06T06:53:51,2017-11-26T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD3,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,G4,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2017-11-26T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BHIMPHEDI GAUNPALIKA,WARD NO. 06,,ALL,G7,11555,1,G7,N,,N,,,BHIMPHEDI BRANCH,7,BOAN,BHIMF,2024-07-26T21:28:37,18,2017-12-11T15:54:58,167,NPT,0,,,,NARAY,,,Y,C,BHI,2018-11-06T06:53:51,2017-12-11T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,G7,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2017-12-11T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
THALI,,,ALL,G8,4724,1,G8,N,,N,,,THALI BRANCH,7,BOAN,KATH,2024-07-26T21:28:37,18,2017-12-14T15:36:14,168,NPT,0,,,,BAGMA,,,Y,C,THA,2018-11-06T06:53:51,2017-12-14T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,G8,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2017-12-14T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
GEETANAGAR,,,ALL,I2,37034,1,I2,N,,N,,,GEETANAGAR BRANCH,7,BOAN,CHITW,2024-07-26T21:28:40,18,2018-01-09T14:40:49,182,NPT,0,,,,NARAY,,,Y,C,GEE,2018-11-06T06:53:51,2018-01-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I2,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-09T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
DRIVER TOLE,,,ALL,I0,53050,1,I0,N,,N,,,DRIVER TOLE BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:40,18,2018-01-07T16:28:18,180,NPT,0,,,,LUMBI,,,Y,C,DRI,2018-11-06T06:53:51,2018-01-07T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I0,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-07T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
NAUDANDA,,,ALL,I1,19292,1,I1,N,,N,,,NAUDANDA BRANCH,7,BOAN,KASKI,2024-07-26T21:28:40,18,2018-01-08T17:01:38,181,NPT,0,,,,GANDA,,,Y,C,NAU,2018-11-06T06:53:51,2018-01-08T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I1,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-08T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KHANIKHOLA,,,ALL,I3,31464,1,I3,N,,N,,,KHANIKHOLA BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-01-09T14:57:11,183,NPT,0,,,,BAGMA,,,Y,C,KHA,2018-11-06T06:53:51,2018-01-09T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I3,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-09T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
RAMMANDIR BUTWAL,,,ALL,I7,92012,1,I7,N,,N,,,RAMMANDIR BUTWAL BRANCH,7,BOAN,RUPAN,2024-07-26T21:28:51,18,2018-01-28T11:55:41,187,NPT,0,,,,LUMBI,,,Y,C,RAM,2018-11-06T06:53:51,2018-01-28T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I7,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-28T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TRIBHUWAN CHOWK BRANCH,NEPALGUNJ,,ALL,I8,34804,1,I8,N,,N,,,TRIBHUWAN CHOWK BRANCH,7,BOAN,NEPAL,2024-07-26T21:28:51,18,2018-01-28T12:18:52,188,NPT,0,,,,BHERI,,,Y,C,TRI,2018-11-06T06:53:51,2018-01-28T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I8,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-28T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
RAJMARGACHAURAHA BUTWL,,,ALL,I9,36505,1,I9,N,,N,,,RAJMARGACHAURAHA BRANCH,7,BOAN,RUPAN,2024-07-26T21:28:51,18,2018-01-28T12:58:14,189,NPT,0,,,,LUMBI,,,Y,C,RAJ,2018-11-06T06:53:51,2018-01-28T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,I9,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-28T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
PUNARBAS BRANCH KANCHR,,,ALL,J0,51147,1,J0,N,,N,,,PUNARBAS BRANCH,7,BOAN,KANCH,2024-07-26T21:28:51,18,2018-01-28T13:20:04,190,NPT,0,,,,SETI,,,Y,C,PUN,2018-11-06T06:53:51,2018-01-28T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J0,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-01-28T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KHADICHAUR,,,ALL,J4,74985,1,J4,N,,N,,,KHADICHAUR BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-02-01T16:25:40,194,NPT,0,,,,BAGMA,,,Y,C,KHA,2018-11-06T06:53:51,2018-02-01T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J4,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-01T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
PARASI,,,ALL,J6,5171,1,J6,N,,N,,,PARASI BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T10:59:09,196,NPT,0,,,,LUMBI,,,Y,C,PAR,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J6,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
TAULIHAWA,,,ALL,J7,160,1,J7,N,,N,,,TAULIHAWA BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T11:32:26,197,NPT,0,,,,LUMBI,,,Y,C,TAU,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,J7,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
MAJHGAWA,,,ALL,K1,19291,1,K1,N,,N,,,MAJHGAWA BRANCH,7,BOAN,LUMBI,2024-07-26T21:28:51,18,2018-02-04T15:13:02,201,NPT,0,,,,LUMBI,,,Y,C,MAJ,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K1,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KACHANKAWAL,,,ALL,K3,73532,1,K3,N,,N,,,KACHANKAWAL BRANCH,7,BOAN,JHAPA,2024-07-26T21:28:51,18,2018-02-04T16:30:07,203,NPT,0,,,,MECHI,,,Y,C,KAC,2018-11-06T06:53:51,2018-02-04T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K3,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-02-04T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
GALCHI,,,ALL,K5,56378,1,K5,N,,N,,,GALCHI BRANCH,7,BOAN,KATH,2024-07-26T21:28:51,18,2018-03-29T16:00:54,205,NPT,0,,,,DHADI,,,Y,C,GAL,2018-11-06T06:53:51,2018-03-29T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K5,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-03-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BARATHWA,,,ALL,K8,56073,1,K8,N,,N,,,BARATHWA BRANCH,7,BOAN,SARLA,2024-07-26T21:28:51,18,2018-03-29T17:52:07,208,NPT,0,,,,JANAK,,,Y,C,BAR,2018-11-06T06:53:51,2018-03-29T00:00:00.000000, ,BANK PANI SAATHI PANI,,Y, ,FINADMIN,BPD1,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,K8,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2018-03-29T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
