mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
1290,2407660,2422681,,,150,2024-08-07 07:05:08.091
1291,2407661,2422701,,,150,2024-08-07 07:05:08.091
1292,2407662,2422721,,,150,2024-08-07 07:05:08.091
1293,2407663,2422741,,,150,2024-08-07 07:05:08.091
1294,2407664,2422761,,,150,2024-08-07 07:05:08.091
1295,2407665,2422781,,,150,2024-08-07 07:05:08.091
1296,2407666,2422801,,,150,2024-08-07 07:05:08.091
1297,2407667,2422821,,,150,2024-08-07 07:05:08.091
1298,2407668,2422841,,,150,2024-08-07 07:05:08.091
1299,2407669,2422861,,,150,2024-08-07 07:05:08.091
1300,2407670,2422881,,,150,2024-08-07 07:05:08.091
1301,2407671,2422901,,,150,2024-08-07 07:05:08.091
1302,2407672,2422921,,,150,2024-08-07 07:05:08.091
1303,2407673,2422941,,,150,2024-08-07 07:05:08.091
1304,2407674,2422961,,,150,2024-08-07 07:05:08.091
1305,2407675,2422981,,,150,2024-08-07 07:05:08.091
1309,2407679,2423061,,,150,2024-08-07 07:05:08.091
1310,2407680,2423081,,,150,2024-08-07 07:05:08.091
1311,2407681,2423101,,,150,2024-08-07 07:05:08.091
1312,2407682,2423121,,,150,2024-08-07 07:05:08.091
1313,2407683,2423141,,,150,2024-08-07 07:05:08.091
1314,2407684,2423161,,,150,2024-08-07 07:05:08.091
1315,2407685,2423181,,,150,2024-08-07 07:05:08.091
1316,2407686,2423201,,,150,2024-08-07 07:05:08.091
1317,2407687,2423221,,,150,2024-08-07 07:05:08.091
1318,2407688,2423241,,,150,2024-08-07 07:05:08.091
1319,2407689,2423261,,,150,2024-08-07 07:05:08.091
1320,2407690,2423281,,,150,2024-08-07 07:05:08.091
1321,2407691,2423301,,,150,2024-08-07 07:05:08.091
1322,2407692,2423321,,,150,2024-08-07 07:05:08.091
1323,2407693,2423341,,,150,2024-08-07 07:05:08.091
1329,2407699,2423461,,,150,2024-08-07 07:05:08.091
1349,2408299,2423861,,,150,2024-08-07 07:05:08.091
1369,2410079,2424261,,,150,2024-08-07 07:05:08.091
1370,2410080,2424281,,,150,2024-08-07 07:05:08.091
1371,2410081,2424301,,,150,2024-08-07 07:05:08.091
1372,2410082,2424321,,,150,2024-08-07 07:05:08.091
1373,2410083,2424341,,,150,2024-08-07 07:05:08.091
1374,2410084,2424361,,,150,2024-08-07 07:05:08.091
1375,2410085,2424381,,,150,2024-08-07 07:05:08.091
1389,2410119,2424661,,,150,2024-08-07 07:05:08.091
1409,2410679,2425061,,,150,2024-08-07 07:05:08.091
1410,2410680,2425081,,,150,2024-08-07 07:05:08.091
1411,2410681,2425101,,,150,2024-08-07 07:05:08.091
1429,2410759,2425461,,,150,2024-08-07 07:05:08.091
1449,2411299,2425861,,,150,2024-08-07 07:05:08.091
1469,2411319,2426261,,,150,2024-08-07 07:05:08.091
1489,2411339,2426661,,,150,2024-08-07 07:05:08.091
1509,2411359,2427061,,,150,2024-08-07 07:05:08.091
1529,2411882,2427461,,,150,2024-08-07 07:05:08.091
1549,2413919,2427861,,,150,2024-08-07 07:05:08.091
1550,2413920,2427881,,,150,2024-08-07 07:05:08.091
1569,2414459,2428261,,,150,2024-08-07 07:05:08.091
1589,2414479,2428661,,,150,2024-08-07 07:05:08.091
1609,2414539,2429061,,,150,2024-08-07 07:05:08.091
