Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
PDSC1366,UTTAM TALAB BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC343,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC157,SOCIAL SECURITY RELIEF AC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1239,STAFF HOUSING LOAN-ESCROW,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC435,SAMAJIK SURAKCHYA BACHAT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC997,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1597,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1821,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC412,SAGARMATHA DOUBLE DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC834,SAGARMATHA DOUBLE DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC186,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1365,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC285,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1446,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC890,DAKSHINA BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC897,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC291,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1166,SAGARMATHA COLLEGE/SCHOOL PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC100,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1760,SAGARMATHA COLLEGE/SCHOOL STUDENT ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC287,SAGARMATHA DEVELOPMENT AND EMBASSY NGO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC384,SAGARMATHA DEVELOPMENT AND EMBASSY INGO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC439,SAGARMATHA DEVELOPMENT AND EMBASSY NPO/TRUST,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1866,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC985,UTTAM TALAB BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1011,SAGARMATHA UNIVERSITY PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1825,SAGARMATHA UNIVERSITY STUDENT ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC237,SAGARMATHA HEALTH PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC885,SAGARMATHA SIA  BFI SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1358,USD PREMIUM SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1424,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC348,LIFE INSURANCE SECTOR SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC805,PRIVATE CORPORATE SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC474,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC218,SAGARMATHA SIA  INSURANCE SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC484,SAGARMATHA GOVERNMENT/PUBLIC PAYROLL ACCONUT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC605,SAGARMATHA SIA PRIORITY SECTOR PAYROLL ACOOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC655,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC277,SAGARMATHA SIA  MINISTRY BASED STRUCTURE PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1292,SAGARMATHA TOURISM PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1433,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC732,UTTAM TALAB BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC338,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC112,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC780,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1268,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1543,UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC598,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC457,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC666,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC262,SAMRIDDHA NEPAL SUKHI NEPALI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC889,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1585,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC65,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC760,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC113,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC413,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1131,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1542,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1361,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC663,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC08,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1666,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1638,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1646,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC206,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1137,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC899,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1511,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1541,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC63,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC929, SUPER UTTAM BAIDESHIK ROJGAR  BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC893, SUPER UTTAM BIDHYARTHI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
