Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
SD031,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD022,SOCIAL SECURITY RELIEF AC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD023,STAFF HOUSING LOAN-ESCROW,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD029,SAMAJIK SURAKCHYA BACHAT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD034,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD035,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD036,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD033,SAGARMATHA DOUBLE DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD032,SAGARMATHA DOUBLE DEPOSIT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD038,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD037,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD039,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
CBSAV,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
DBSAV,DAKSHINA BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
BNSAV,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
CBOSA,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD042,SAGARMATHA COLLEGE/SCHOOL PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD060,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD044,SAGARMATHA COLLEGE/SCHOOL STUDENT ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
DENSA,SAGARMATHA DEVELOPMENT AND EMBASSY NGO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
DEISA,SAGARMATHA DEVELOPMENT AND EMBASSY INGO,SBA,Deposit,Savings,2024-08-09 10:31:27.125
DETSA,SAGARMATHA DEVELOPMENT AND EMBASSY NPO/TRUST,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD040,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD041,UTTAM TALAB BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD043,SAGARMATHA UNIVERSITY PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD045,SAGARMATHA UNIVERSITY STUDENT ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD046,SAGARMATHA HEALTH PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD048,SAGARMATHA SIA  BFI SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD052,USD PREMIUM SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD053,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD058,LIFE INSURANCE SECTOR SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD057,PRIVATE CORPORATE SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD055,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD049,SAGARMATHA SIA  INSURANCE SECTOR PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD050,SAGARMATHA GOVERNMENT/PUBLIC PAYROLL ACCONUT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD047,SAGARMATHA SIA PRIORITY SECTOR PAYROLL ACOOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD056,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD051,SAGARMATHA SIA  MINISTRY BASED STRUCTURE PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD054,SAGARMATHA TOURISM PAYROLL ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD066,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD068,UTTAM TALAB BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD075,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD064,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD071,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD072,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD067,UTTAM NARI BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD073,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD063,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD065,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD077,SAMRIDDHA NEPAL SUKHI NEPALI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD061,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD062,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD074,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD069,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD076,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD070,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD080,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD089,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD085,UTTAM JESTHA NAGARIK BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD084,UTTAM JESTHA NAGARIK BACHAT KHATA-DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD090,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD088,UTTAM NARI BACHAT KHATA-GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD086,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD083,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD092,UTTAM UDHYAMSHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD078,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD082,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD081,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD096,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD095,UTTAM BACHAT KHATA- GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD111, SUPER UTTAM BAIDESHIK ROJGAR  BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD112, SUPER UTTAM BIDHYARTHI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD115, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD118, SUPER UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD093,UTTAM BACHAT KHATA- DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD110, SUPER UTTAM BACHAT KHATA - SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD113, SUPER UTTAM JESTHA NAGARIK BACHAT KHATA - DIAMOND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
