mac_tcc,mac_code,mac_iden,mac_labe,updated_at
H,1010780,3545,SHANGRI-LA INTERNATI          ,2024-08-07 07:05:07.198
H,1010800,3548,HOTELES MELIA                 ,2024-08-07 07:05:07.198
H,1010820,3549,AUBERGE DES GOUVERNE          ,2024-08-07 07:05:07.198
H,1010840,3550,REGAL 8 INNS                  ,2024-08-07 07:05:07.198
H,1010860,3552,COAST HOTEL                   ,2024-08-07 07:05:07.198
H,1010880,3558,JOLLY HOTELS                  ,2024-08-07 07:05:07.198
H,1010900,3562,COMFORT HOTELS INT`L          ,2024-08-07 07:05:07.198
H,1010920,3563,JOUNEY`S END HOTELS           ,2024-08-07 07:05:07.198
H,1010940,3565,RELAX INNS                    ,2024-08-07 07:05:07.198
H,1010960,3568,LADBROKE HOTELS               ,2024-08-07 07:05:07.198
H,1010980,3570,FORUM HOTELS                  ,2024-08-07 07:05:07.198
H,1011000,3572,MIYAKO HOTEL/KINTETS          ,2024-08-07 07:05:07.198
H,1011020,3573,SANDMAN HOTELS                ,2024-08-07 07:05:07.198
H,1011040,3574,VENTURE INN                   ,2024-08-07 07:05:07.198
H,1011060,3575,VAGABOND HOTELS               ,2024-08-07 07:05:07.198
H,1011080,3577,MANDARIN INT`L                ,2024-08-07 07:05:07.198
H,1011100,3579,HOTEL MERCURE                 ,2024-08-07 07:05:07.198
H,1011120,3581,DELTA HOTELS                  ,2024-08-07 07:05:07.198
H,1011140,3584,PRINCESS HOTELS INT`          ,2024-08-07 07:05:07.198
H,1011160,3585,HUNGAR HOTELS                 ,2024-08-07 07:05:07.198
H,1011180,3586,SOKOS HOTELS                  ,2024-08-07 07:05:07.198
H,1011200,3588,HELMSLEY HOTELS               ,2024-08-07 07:05:07.198
H,1011220,3590,FAIRMONT HOTELS CORP          ,2024-08-07 07:05:07.198
H,1011240,3591,SONESTA INT`L HOTELS          ,2024-08-07 07:05:07.198
H,1011260,3592,OMNI INTERNATIONAL            ,2024-08-07 07:05:07.198
H,1011280,3593,CUNARD HOTELS                 ,2024-08-07 07:05:07.198
H,1011300,3598,REGENT HOTELS                 ,2024-08-07 07:05:07.198
H,1011320,3599,PANNONIA HOTEL                ,2024-08-07 07:05:07.198
H,1011340,3603,NOAH`S HOTEL (MELBN)          ,2024-08-07 07:05:07.198
H,1011360,3615,TRAVELODGE MOTELS             ,2024-08-07 07:05:07.198
H,1011380,3622,MERLIN HOTEL (PERTH)          ,2024-08-07 07:05:07.198
H,1011400,3623,DORINT HOTELS                 ,2024-08-07 07:05:07.198
H,1011420,3625,HOTEL UNIVERSAL               ,2024-08-07 07:05:07.198
H,1011440,3629,DAN HOTELS                    ,2024-08-07 07:05:07.198
H,1011460,3633,RANK-HOTELS                   ,2024-08-07 07:05:07.198
H,1011480,3634,SWISS HOTELS                  ,2024-08-07 07:05:07.198
H,1011500,3635,RESO HOTELS                   ,2024-08-07 07:05:07.198
H,1011520,3636,SAROVA HOTELS                 ,2024-08-07 07:05:07.198
H,1011540,3638,HOWARD JONHSON                ,2024-08-07 07:05:07.198
H,1011560,3639,MOUNT CHARLOTTE THIS          ,2024-08-07 07:05:07.198
H,1011580,3641,SOFITEL HOTELS                ,2024-08-07 07:05:07.198
H,1011600,3642,NOVOTEL SIEH (ACCOR)          ,2024-08-07 07:05:07.198
H,1011620,3643,STEINBERGER HOTELS            ,2024-08-07 07:05:07.198
H,1011640,3644,ECONOLODGES                   ,2024-08-07 07:05:07.198
H,1011660,3645,QUEENS MOAT-HOTELS            ,2024-08-07 07:05:07.198
H,1011680,3646,SWALLOW HOTELS                ,2024-08-07 07:05:07.198
H,1011700,3647,GRUPO HOTELS HUSA SA          ,2024-08-07 07:05:07.198
H,1011720,3648,DE VERA HOTELS                ,2024-08-07 07:05:07.198
H,1011740,3649,RADISSON HOTELS               ,2024-08-07 07:05:07.198
H,1011760,3650,RED ROOF INNS                 ,2024-08-07 07:05:07.198
H,1011780,3651,IMPERIAL LONDON HOTE          ,2024-08-07 07:05:07.198
H,1011800,3652,EMBASSY HOTELS                ,2024-08-07 07:05:07.198
H,1011820,3653,PENTA HOTELS                  ,2024-08-07 07:05:07.198
H,1011840,3654,LOEWS HOTELS                  ,2024-08-07 07:05:07.198
H,1011860,3655,SCANDIC HOTELS                ,2024-08-07 07:05:07.198
H,1011880,3656,SARA HOTELS                   ,2024-08-07 07:05:07.198
H,1011900,3657,OBEROI HOTELS                 ,2024-08-07 07:05:07.198
H,1011920,3658,NEW OTANI HOTELS              ,2024-08-07 07:05:07.198
H,1011940,3659,TAJ HOTELS INT`L              ,2024-08-07 07:05:07.198
H,1011960,3660,KNIGHTS INN                   ,2024-08-07 07:05:07.198
H,1011980,3661,METROPOLE HOTELS              ,2024-08-07 07:05:07.198
H,1012000,3663,HOTELES EL PRESIDENT          ,2024-08-07 07:05:07.198
H,1012020,3664,FLAG INNS                     ,2024-08-07 07:05:07.198
H,1012040,3665,HAMPTON INNS                  ,2024-08-07 07:05:07.198
H,1012060,3666,STAKIS HOTELS                 ,2024-08-07 07:05:07.198
H,1012080,3668,MARITIM HOTELS                ,2024-08-07 07:05:07.198
H,1012100,3670,ARCADE HOTELS                 ,2024-08-07 07:05:07.198
H,1012120,3671,ARCTIA HOTELS                 ,2024-08-07 07:05:07.198
H,1012140,3672,CAMPANILE HOTELS              ,2024-08-07 07:05:07.198
H,1012160,3673,IBUSZ HOTELS                  ,2024-08-07 07:05:07.198
H,1012180,3674,RANTASIPI HOTELS              ,2024-08-07 07:05:07.198
H,1012200,3675,INTERHOTEL CEDOK              ,2024-08-07 07:05:07.198
H,1012220,3677,CLIMAT DE FRANCE HOT          ,2024-08-07 07:05:07.198
H,1012240,3678,CUMULUS HOTELS                ,2024-08-07 07:05:07.198
H,1012260,3680,HOTELS OTHAN                  ,2024-08-07 07:05:07.198
H,1012280,3681,ADAMS MARK HOTELS             ,2024-08-07 07:05:07.198
H,1012300,3683,BRADBURY HOTELS               ,2024-08-07 07:05:07.198
H,1012320,3684,BUDGET HOSTS INNS             ,2024-08-07 07:05:07.198
H,1012340,3685,BUDGETEL HOTELS               ,2024-08-07 07:05:07.198
H,1012360,3686,SUSSE CHALET                  ,2024-08-07 07:05:07.198
H,1012380,3687,CLARION HOTELS                ,2024-08-07 07:05:07.198
H,1012400,3688,COMPRI HOTELS                 ,2024-08-07 07:05:07.198
H,1012420,3689,CONSORT HOTELS                ,2024-08-07 07:05:07.198
H,1012440,3690,COURTYARD MARRIOTT            ,2024-08-07 07:05:07.198
H,1012460,3691,DILLIN INN                    ,2024-08-07 07:05:07.198
H,1012480,3692,DOUBLETREE HOTELS             ,2024-08-07 07:05:07.198
H,1012500,3693,DRURY INN                     ,2024-08-07 07:05:07.198
H,1012520,3694,ECONOMY INNS OF AMER          ,2024-08-07 07:05:07.198
H,1012540,3695,EMBASSY SUITES                ,2024-08-07 07:05:07.198
H,1012560,3696,EXCEL INN                     ,2024-08-07 07:05:07.198
H,1012580,3697,FAIRFIELD HOTELS              ,2024-08-07 07:05:07.198
H,1012600,3698,HARLEY HOTELS                 ,2024-08-07 07:05:07.198
H,1012620,3699,MIDWAY MOTOR LODGE            ,2024-08-07 07:05:07.198
H,1012640,3700,MOTEL 6                       ,2024-08-07 07:05:07.198
H,1012660,3701,LA MANSION DEL RIO            ,2024-08-07 07:05:07.198
H,1012680,3702,REGISTRY HOTELS               ,2024-08-07 07:05:07.198
H,1012700,3703,RESIDENCE INN                 ,2024-08-07 07:05:07.198
H,1012720,3704,ROYCE HOTELS                  ,2024-08-07 07:05:07.198
H,1012740,3705,SANDMAN INN                   ,2024-08-07 07:05:07.198
H,1012760,3706,SHILO INN                     ,2024-08-07 07:05:07.198
H,1012780,3707,SHONEY`S INN                  ,2024-08-07 07:05:07.198
H,1012800,3709,SUPER 8 MOTELS                ,2024-08-07 07:05:07.198
X,1012820,3710,THE RITZ-CARLTON              ,2024-08-07 07:05:07.198
H,1012840,3711,FLAG INNS (AUSTRALIA          ,2024-08-07 07:05:07.198
H,1012860,3713,QUALITY PACIFIC HOTE          ,2024-08-07 07:05:07.198
H,1012880,3714,FOUR SEASONS(AUSTRAL          ,2024-08-07 07:05:07.198
H,1012900,3715,FAIRFIELD INN                 ,2024-08-07 07:05:07.198
H,1012920,3716,CARLTON HOTELS                ,2024-08-07 07:05:07.198
H,1012940,3717,CITY LODGE HOTELS             ,2024-08-07 07:05:07.198
H,1012960,3718,KAROS HOTLES                  ,2024-08-07 07:05:07.198
H,1012980,3719,PROTEA HOTELS                 ,2024-08-07 07:05:07.198
H,1013000,3720,SOUTHERN SUN HOTELS           ,2024-08-07 07:05:07.198
H,1013020,3721,CONRAD HOTELS                 ,2024-08-07 07:05:07.198
H,1013040,3722,WYNDHAM                       ,2024-08-07 07:05:07.198
X,1013060,4011,RAILROADS - FREIGHT           ,2024-08-07 07:05:07.198
X,1013080,4111,"LOCAL,SUBURBAN COMMU          ",2024-08-07 07:05:07.198
R,1013100,4119,AMBULANCE SERVICE             ,2024-08-07 07:05:07.198
R,1013120,4121,TAXICABS/LIMOUSINES           ,2024-08-07 07:05:07.198
X,1013140,4131,"BUS LINES,INCL.CHART          ",2024-08-07 07:05:07.198
R,1013160,4225,PUBLIC WAREHOUSING            ,2024-08-07 07:05:07.198
H,1013180,4411,STEAMSHIP/CRUISE LIN          ,2024-08-07 07:05:07.198
R,1013200,4457,BOAT RENTALS AND LEA          ,2024-08-07 07:05:07.198
R,1013220,4468,"MARINAS,MARINE SERVI          ",2024-08-07 07:05:07.198
T,1013240,4784,"TOLLS,ROAD AND BRIDG          ",2024-08-07 07:05:07.198
T,1013260,4815,MONTHLY SUMMARY TELE          ,2024-08-07 07:05:07.198
R,1013280,4821,TELEGRAPH SERVICES W          ,2024-08-07 07:05:07.198
R,1013320,5231,"GLASS,PAINT,WALLPAPE          ",2024-08-07 07:05:07.198
R,1013340,5271,MOBILE HOME DEALERS           ,2024-08-07 07:05:07.198
R,1013360,5310,DISCOUNT STORES               ,2024-08-07 07:05:07.198
R,1013380,5399,MISCELLANEOUS GENERA          ,2024-08-07 07:05:07.198
R,1013400,5521,AUTOMOBILE & TRUCK D          ,2024-08-07 07:05:07.198
R,1013420,5531,AUTO & HOME SUPPLY S          ,2024-08-07 07:05:07.198
R,1013440,5532,AUTOMOTIVE TIRE STOR          ,2024-08-07 07:05:07.198
R,1013460,5533,"AUTOMOTIVE PARTS,ACC          ",2024-08-07 07:05:07.198
R,1013480,5542,AUTOMATED FUEL DISPE          ,2024-08-07 07:05:07.198
R,1013500,5551,BOAT DEALERS                  ,2024-08-07 07:05:07.198
R,1013520,5561,RECREATIONAL AND UTI          ,2024-08-07 07:05:07.198
R,1013540,5571,MOTORCYCLE DEALERS            ,2024-08-07 07:05:07.198
R,1013560,5592,MOTOR HOME DEALERS            ,2024-08-07 07:05:07.198
R,1013580,5598,SNOWMOBILE DEALERS            ,2024-08-07 07:05:07.198
R,1013600,5691,MEN`S AND LADIES`S C          ,2024-08-07 07:05:07.198
R,1013620,5698,WIG & TOUPEE SHOPS            ,2024-08-07 07:05:07.198
R,1013640,5713,"FLOOR COVERING,RUGS,          ",2024-08-07 07:05:07.198
R,1013660,5714,DRAPERY & UPHOLSTERY          ,2024-08-07 07:05:07.198
R,1013680,5718,"FIREPLACE,FIREPLACE           ",2024-08-07 07:05:07.198
R,1013700,5735,RECORD SHOPS                  ,2024-08-07 07:05:07.198
R,1013720,5931,USED MERCHANDISE STO          ,2024-08-07 07:05:07.198
R,1013740,5932,ANTIQUE SHOPS                 ,2024-08-07 07:05:07.198
R,1013760,5935,WRECKING & SALVAGE Y          ,2024-08-07 07:05:07.198
R,1013780,5937,ANTIQUE REPRODUCTION          ,2024-08-07 07:05:07.198
R,1013800,5940,BICYCLE SHOPS-SALES           ,2024-08-07 07:05:07.198
R,1013820,5946,CAMERA AND PHOTOGRAP          ,2024-08-07 07:05:07.198
R,1013840,5950,GLASSWARE AND CRYSTA          ,2024-08-07 07:05:07.198
R,1013880,5963,DIRECT SELLING ESTAB          ,2024-08-07 07:05:07.198
T,1013900,5964,CATALOG MERCHANTS             ,2024-08-07 07:05:07.198
T,1013920,5966,OUTBOUND TELEMARKETI          ,2024-08-07 07:05:07.198
T,1013940,5967,INBOUND TELESERVICES          ,2024-08-07 07:05:07.198
R,1013960,5970,ARTISTS SUPPLY STORE          ,2024-08-07 07:05:07.198
R,1013980,5973,RELIGIOUS GOODS STOR          ,2024-08-07 07:05:07.198
R,1014000,6028,UNICORPORATED PRIVAT          ,2024-08-07 07:05:07.198
R,1014020,6381,"INSURANCE-PREMIUMS,           ",2024-08-07 07:05:07.198
R,1014040,6399,INSURANCE-NOT ELSEWH          ,2024-08-07 07:05:07.198
R,1014060,7251,SHOE REPAIR SHOPS             ,2024-08-07 07:05:07.198
R,1014080,7273,DATING & ESCORT SERV          ,2024-08-07 07:05:07.198
R,1014100,7276,TAX PREPARATION SERV          ,2024-08-07 07:05:07.198
R,1014120,7277,COUNSELING SERVICE -          ,2024-08-07 07:05:07.198
R,1014140,7296,CLOTHING RENTAL - CO          ,2024-08-07 07:05:07.198
R,1014160,7297,MASSAGE PARLORS               ,2024-08-07 07:05:07.198
R,1014180,7321,CONSUMER CREDIT REPO          ,2024-08-07 07:05:07.198
R,1014200,7332,BLUEPRINTING & PHOTO          ,2024-08-07 07:05:07.198
R,1014220,7333,COMMERCIAL PHOTOGRAP          ,2024-08-07 07:05:07.198
R,1014240,7339,STENOGRAPHIC SERVICE          ,2024-08-07 07:05:07.198
R,1014260,7342,DISINFECTING & EXTER          ,2024-08-07 07:05:07.198
R,1014280,7361,EMPLOYMENT AGENCIES           ,2024-08-07 07:05:07.198
R,1014300,7372,COMPUTER AND DATA PR          ,2024-08-07 07:05:07.198
R,1014320,7393,DETECTIVE AGENCIES            ,2024-08-07 07:05:07.198
R,1014340,7394,EQUIPMENT RENTAL & L          ,2024-08-07 07:05:07.198
R,1014360,7395,PHOTOFINISHING LABOR          ,2024-08-07 07:05:07.198
U,1014380,7511,TRUCK STOP TRANSACTI          ,2024-08-07 07:05:07.198
A,1014400,7513,TRUCK & UTILITY TRAN          ,2024-08-07 07:05:07.198
A,1014420,7519,MOTOR HOME & RECREAT          ,2024-08-07 07:05:07.198
R,1014440,7523,AUTOMOBILE PARKING L          ,2024-08-07 07:05:07.198
R,1014460,7531,AUTOMOTIVE TOP & BOD          ,2024-08-07 07:05:07.198
R,1014480,7534,TIRE RETREADING & RE          ,2024-08-07 07:05:07.198
R,1014500,7535,AUTOMOTIVE PAINT SHO          ,2024-08-07 07:05:07.198
R,1014520,7538,AUTOMOTIVE SERVICE S          ,2024-08-07 07:05:07.198
R,1014540,7622,"RADIO,TELEVISION & S          ",2024-08-07 07:05:07.198
R,1014560,7623,AIR CONDITIONING & R          ,2024-08-07 07:05:07.198
R,1014580,7629,ELECTRICAL & SMALL A          ,2024-08-07 07:05:07.198
R,1014600,7631,"WATCH, CLOCK & JEWEL          ",2024-08-07 07:05:07.198
R,1014620,7641,REUPHOLSTERY & FURNI          ,2024-08-07 07:05:07.198
R,1014640,7692,WELDING                       ,2024-08-07 07:05:07.198
R,1014660,7699,MISCELLANEOUS REPAIR          ,2024-08-07 07:05:07.198
R,1014680,7832,MOTION PICTURE THEAT          ,2024-08-07 07:05:07.198
R,1014700,7922,THEATRICAL PRODUCERS          ,2024-08-07 07:05:07.198
R,1014720,7933,BOWLING ALLEYS                ,2024-08-07 07:05:07.198
R,1014740,7941,COMMERCIAL SPORTS             ,2024-08-07 07:05:07.198
R,1014760,7991,TOURIST ATTR. AND EX          ,2024-08-07 07:05:07.198
R,1014780,7992,GOLF COURSES - PUBLI          ,2024-08-07 07:05:07.198
R,1014800,8041,CHIROPRACTORS                 ,2024-08-07 07:05:07.198
R,1014820,8042,"OPTOMETRISTS,OPTHAMA          ",2024-08-07 07:05:07.198
O,1014840,8050,NURSING AND PERSONAL          ,2024-08-07 07:05:07.198
R,1014860,8249,VOCATIONAL & TRADE S          ,2024-08-07 07:05:07.198
R,1014880,8351,CHILD DAY CARE SERVI          ,2024-08-07 07:05:07.198
R,1014900,8641,"CIVIC,SOCIAL & FRATE          ",2024-08-07 07:05:07.198
R,1014920,8651,POLITICAL ORGANIZATI          ,2024-08-07 07:05:07.198
R,1014940,8661,RELIGIOUS ORGANIZATI          ,2024-08-07 07:05:07.198
R,1014960,8675,AUTOMOBILE ASSOCIATI          ,2024-08-07 07:05:07.198
R,1014980,8911,"ENGINEERING,ARCHITEC          ",2024-08-07 07:05:07.198
R,1015000,8931,"ACCOUNTING,AUDITING           ",2024-08-07 07:05:07.198
R,1015020,9211,COURT COSTS                   ,2024-08-07 07:05:07.198
R,1015040,9222,FINES                         ,2024-08-07 07:05:07.198
R,1015060,9223,BAIL & BOND PAYMENTS          ,2024-08-07 07:05:07.198
R,1015080,9401,FOOD STAMPS                   ,2024-08-07 07:05:07.198
R,1015100,9751,UK SUPERMARKETS ELEC          ,2024-08-07 07:05:07.198
R,1015120,9752,UK PETROL STNS. ELEC          ,2024-08-07 07:05:07.198
T,1015140,2741,MISC-PUBLISHING/PRIN          ,2024-08-07 07:05:07.198
T,1015160,2791,TYPESETTING/PLATE RE          ,2024-08-07 07:05:07.198
X,1015180,3083,AIRAFRIQUE                    ,2024-08-07 07:05:07.198
X,1015200,3084,EVA AIR                       ,2024-08-07 07:05:07.198
X,1015220,3085,MIDWEST EXP                   ,2024-08-07 07:05:07.198
X,1015240,3086,CARNIVALAIR                   ,2024-08-07 07:05:07.198
X,1015260,3088,CROATIA AIR                   ,2024-08-07 07:05:07.198
R,1015300,763,AGRICULTURAL COOPERATIVE,2024-08-07 07:05:07.198
R,1015320,780,LANDSCAPE AND HORTIC          ,2024-08-07 07:05:07.198
R,1015340,1520,GEN CONT RESIDENTIAL          ,2024-08-07 07:05:07.198
R,1015360,1731,ELECTRICAL CONTRACTO          ,2024-08-07 07:05:07.198
R,1015380,1740,"MASONRY,STONEWORK,TI          ",2024-08-07 07:05:07.198
R,1015400,1750,CARPENTERING                  ,2024-08-07 07:05:07.198
R,1015420,1761,"ROOFING,SIDING,SHEET          ",2024-08-07 07:05:07.198
R,1015440,1771,CONTRACTORS - CONCRE          ,2024-08-07 07:05:07.198
X,1015460,3000,UNITED AIRLINES               ,2024-08-07 07:05:07.198
X,1015480,3001,AMERICAN AIRLINES             ,2024-08-07 07:05:07.198
X,1015500,3002,PAN AMERICAN                  ,2024-08-07 07:05:07.198
X,1015520,3004,DRAGONAIR                     ,2024-08-07 07:05:07.198
X,1015540,3005,BRITISH AIRWAYS               ,2024-08-07 07:05:07.198
X,1015560,3006,JAPAN AIR LINES               ,2024-08-07 07:05:07.198
X,1015580,3007,AIR FRANCE                    ,2024-08-07 07:05:07.198
X,1015600,3008,LUFTHANSA                     ,2024-08-07 07:05:07.198
X,1015620,3009,AIR CANADA                    ,2024-08-07 07:05:07.198
X,1015640,3010,KLM                           ,2024-08-07 07:05:07.198
X,1015660,3011,AEROFLOT                      ,2024-08-07 07:05:07.198
X,1015680,3012,QANTAS                        ,2024-08-07 07:05:07.198
X,1015700,3013,ALITALIA                      ,2024-08-07 07:05:07.198
X,1015720,3016,SAS                           ,2024-08-07 07:05:07.198
X,1015740,3017,SOUTH AFRICAN AIRWAY          ,2024-08-07 07:05:07.198
X,1015760,3018,VARIG (BRAZIL)                ,2024-08-07 07:05:07.198
X,1015780,3020,AIR-INDIA                     ,2024-08-07 07:05:07.198
X,1015800,3021,AIR ALGERIE AIRALGER          ,2024-08-07 07:05:07.198
X,1015820,3022,PAL AIR                       ,2024-08-07 07:05:07.198
X,1015840,3023,MEXICANA                      ,2024-08-07 07:05:07.198
X,1015860,3024,PAKISTAN INT`L                ,2024-08-07 07:05:07.198
X,1015880,3025,AIR NEW ZEALAND               ,2024-08-07 07:05:07.198
X,1015900,3027,UTA/INTERAIR                  ,2024-08-07 07:05:07.198
X,1015920,3028,AIR MALTA                     ,2024-08-07 07:05:07.198
X,1015940,3029,SN BRUSSELS AIRLINES          ,2024-08-07 07:05:07.198
X,1015960,3030,AEROLINEAS ARGENTINA          ,2024-08-07 07:05:07.198
X,1015980,3031,OLYMPIC AIRWAYS               ,2024-08-07 07:05:07.198
X,1016000,3032,EL AL                         ,2024-08-07 07:05:07.198
X,1016020,3033,ANSETT AIRLINES               ,2024-08-07 07:05:07.198
X,1016040,3034,TAA (AUSTRALIA)               ,2024-08-07 07:05:07.198
X,1016060,3035,TAP (PORTUGAL)                ,2024-08-07 07:05:07.198
X,1016080,3036,VASP (BRAZIL)                 ,2024-08-07 07:05:07.198
X,1016100,3037,EGYPTAIR                      ,2024-08-07 07:05:07.198
X,1016120,3038,KUWAIT AIRWAYS                ,2024-08-07 07:05:07.198
X,1016140,3039,AVIANCA                       ,2024-08-07 07:05:07.198
X,1016160,3040,GULF AIR (BAHRAIN)            ,2024-08-07 07:05:07.198
X,1016180,3041,BALKAN - BULGARIAN A          ,2024-08-07 07:05:07.198
X,1016200,3042,FINNAIR                       ,2024-08-07 07:05:07.198
X,1016220,3043,AER LINGUS                    ,2024-08-07 07:05:07.198
X,1016240,3045,NIGERIA AIRWAYS               ,2024-08-07 07:05:07.198
X,1016260,3046,CRUZEIRO DO SUL (BRA          ,2024-08-07 07:05:07.198
X,1016280,3047,THY (TURKEY)                  ,2024-08-07 07:05:07.198
X,1016300,3048,ROYAL AIR MAROC               ,2024-08-07 07:05:07.198
X,1016320,3049,TUNIS AIR                     ,2024-08-07 07:05:07.198
X,1016340,3050,ICELANDAIR                    ,2024-08-07 07:05:07.198
X,1016360,3051,AUSTRIAN AIRLINES             ,2024-08-07 07:05:07.198
X,1016380,3052,LAN AIR                       ,2024-08-07 07:05:07.198
X,1016400,3053,AVIACO (SPAIN)                ,2024-08-07 07:05:07.198
X,1016420,3054,LADECO (CHILE)                ,2024-08-07 07:05:07.198
X,1016440,3055,LAB (BOLIVIA)                 ,2024-08-07 07:05:07.198
X,1016460,3056,QUEBECAIRE                    ,2024-08-07 07:05:07.198
X,1016480,3057,EAST/WEST AIR. (AUST          ,2024-08-07 07:05:07.198
X,1016500,3058,DELTA                         ,2024-08-07 07:05:07.198
X,1016520,3060,NWA AIR                       ,2024-08-07 07:05:07.198
X,1016540,3061,CONTINENTAL                   ,2024-08-07 07:05:07.198
X,1016560,3063,U.S. AIRWAYS                  ,2024-08-07 07:05:07.198
X,1016580,3065,AIR INTER                     ,2024-08-07 07:05:07.198
X,1016600,3066,SOUTHWEST                     ,2024-08-07 07:05:07.198
X,1016620,3071,AIR BRITISH COLUMBIA          ,2024-08-07 07:05:07.198
X,1016640,3075,SINGAPORE AIRLINES            ,2024-08-07 07:05:07.198
X,1016660,3076,AEROMEXICO                    ,2024-08-07 07:05:07.198
X,1016680,3077,THAI AIRWAYS                  ,2024-08-07 07:05:07.198
X,1016700,3078,CHINA AIRLINES                ,2024-08-07 07:05:07.198
X,1016720,3081,NORDAIR                       ,2024-08-07 07:05:07.198
X,1016740,3082,KOREAN AIRLINES               ,2024-08-07 07:05:07.198
X,1016760,3087,METRO AIRLINES                ,2024-08-07 07:05:07.198
X,1016780,3092,MIDWAY AIRLINES               ,2024-08-07 07:05:07.198
X,1016800,3094,ZAMBIA AIRWAYS                ,2024-08-07 07:05:07.198
X,1016820,3095,WARDAIR (CANADA)              ,2024-08-07 07:05:07.198
X,1016840,3096,AIR ZIMBABWE                  ,2024-08-07 07:05:07.198
X,1016860,3099,CATHAY PACIFIC                ,2024-08-07 07:05:07.198
X,1016880,3100,MALAYSIAN AIR SYS.            ,2024-08-07 07:05:07.198
X,1016900,3102,IBERIA                        ,2024-08-07 07:05:07.198
X,1016920,3103,GARUDA (INDONESIA)            ,2024-08-07 07:05:07.198
X,1016940,3106,BRAATHENS S.A.F.E(NO          ,2024-08-07 07:05:07.198
X,1016960,3110,WINGS AIRWAYS                 ,2024-08-07 07:05:07.198
X,1016980,3112,WINDWARD ISLAND               ,2024-08-07 07:05:07.198
X,1017000,3117,VIASA                         ,2024-08-07 07:05:07.198
X,1017020,3118,VALLEY AIRLINES               ,2024-08-07 07:05:07.198
X,1017040,3125,TAN SAHSA                     ,2024-08-07 07:05:07.198
X,1017060,3126,TALAIR                        ,2024-08-07 07:05:07.198
X,1017080,3127,TACA INT`L                    ,2024-08-07 07:05:07.198
X,1017100,3129,SURINAM AIRWAYS               ,2024-08-07 07:05:07.198
X,1017120,3130,SUN WORLD INT`L               ,2024-08-07 07:05:07.198
X,1017140,3133,SUNBELT AIRLINES              ,2024-08-07 07:05:07.198
X,1017160,3135,SUDAN AIRWAYS                 ,2024-08-07 07:05:07.198
X,1017180,3137,SINGLETON                     ,2024-08-07 07:05:07.198
X,1017200,3138,SIMMONS AIRLINES              ,2024-08-07 07:05:07.198
X,1017220,3143,SCENIC AIRLINES               ,2024-08-07 07:05:07.198
X,1017240,3144,VIRGIN ATLANTIC VI            ,2024-08-07 07:05:07.198
X,1017260,3145,SAN JUAN                      ,2024-08-07 07:05:07.198
X,1017280,3146,LUXAIR                        ,2024-08-07 07:05:07.198
X,1017300,3151,AIR ZAIRE AIRZAIRE            ,2024-08-07 07:05:07.198
X,1017320,3154,PRINCEVILLE                   ,2024-08-07 07:05:07.198
X,1017340,3159,PBA                           ,2024-08-07 07:05:07.198
X,1017360,3161,ALL NIPPON AIRWAYS            ,2024-08-07 07:05:07.198
X,1017380,3164,NORONTAIR                     ,2024-08-07 07:05:07.198
X,1017400,3165,NEW YORK HELICOPTER           ,2024-08-07 07:05:07.198
X,1017420,3170,MOUNT COOK                    ,2024-08-07 07:05:07.198
X,1017440,3171,CANADIAN AIRLINES CA          ,2024-08-07 07:05:07.198
X,1017460,3172,NATION AIR NATIONAL           ,2024-08-07 07:05:07.198
X,1017480,3176,METROFLIGHT AIRLINES          ,2024-08-07 07:05:07.198
X,1017500,3178,MESA AIR                      ,2024-08-07 07:05:07.198
X,1017520,3181,MALEV                         ,2024-08-07 07:05:07.198
X,1017540,3182,LOT (POLAND)                  ,2024-08-07 07:05:07.198
X,1017560,3184,LIAT                          ,2024-08-07 07:05:07.198
X,1017580,3185,LAV (VENEZUELA)               ,2024-08-07 07:05:07.198
O,1017600,9754,GAMBLING                      ,2024-08-07 07:05:07.198
O,1017620,3802,THE PALACE HOTEL              ,2024-08-07 07:05:07.198
O,1017640,3822,CROSSLAND                     ,2024-08-07 07:05:07.198
R,1017660,5976,ORTHOPEDIC GOODS - A          ,2024-08-07 07:05:07.198
R,1017680,5978,TYPEWRITER STORES -           ,2024-08-07 07:05:07.198
R,1017700,5983,FUEL DEALERS - FUEL           ,2024-08-07 07:05:07.198
R,1017720,5994,NEWS DEALERS AND NEW          ,2024-08-07 07:05:07.198
R,1017740,6022,FINAN. INST.(RCL INT          ,2024-08-07 07:05:07.198
R,1017760,6023,STATE BANKS (RCL INT          ,2024-08-07 07:05:07.198
R,1017780,6025,NAT. BANKS  (RCL INT          ,2024-08-07 07:05:07.198
R,1017800,6026,NAT. BANKS NON FEDER          ,2024-08-07 07:05:07.198
R,1017820,3800,HOMESTEAD SUITES              ,2024-08-07 07:05:07.198
O,1017840,2541,AUTOMATED FUEL DISPENSERS     ,2024-08-07 07:05:07.198
R,1017860,3808,LUXURY RESORTS                ,2024-08-07 07:05:07.198
R,1017880,3815,NICKELODEON SUITES            ,2024-08-07 07:05:07.198
X,1017900,3261,AIR CHINA                     ,2024-08-07 07:05:07.198
X,1017920,3262,"RENO AIR, INC.                ",2024-08-07 07:05:07.198
X,1017940,3263,AERO SERVICIO CARABO          ,2024-08-07 07:05:07.198
X,1017960,4112,PASSENGER RAILWAYSX           ,2024-08-07 07:05:07.198
