mac_tcc,mac_code,mac_iden,mac_labe,updated_at
T,85,5013,MOTOR VEHICLE PARTS/          ,2024-08-07 07:05:07.198
R,86,5975,"HEARING AID SALES,SE          ",2024-08-07 07:05:07.198
T,87,5065,ELECTRIC PARTS/EQUIP          ,2024-08-07 07:05:07.198
H,88,3583,SAS HOTELS                    ,2024-08-07 07:05:07.198
H,89,3640,HYATT HOTELS/INT`L            ,2024-08-07 07:05:07.198
H,90,3612,MOEVENPICK HOTELS             ,2024-08-07 07:05:07.198
R,91,5999,MISCELLANEOUS & SPEC          ,2024-08-07 07:05:07.198
H,92,3501,HOLIDAY INNS                  ,2024-08-07 07:05:07.198
T,93,4816,COMPUTER NETWORK/INF          ,2024-08-07 07:05:07.198
R,94,7261,FUNERAL SERVICE & CR          ,2024-08-07 07:05:07.198
T,95,5962,"TELEMARKETING,TRAVEL          ",2024-08-07 07:05:07.198
A,96,3405,ENTERPRISE RENT-A-CA          ,2024-08-07 07:05:07.198
R,97,5511,AUTOMOBILE & TRUCK D          ,2024-08-07 07:05:07.198
R,98,5995,PET SHOPS-PET FOODS           ,2024-08-07 07:05:07.198
T,99,5047,LAB/MEDIC/DENTAL/OPT          ,2024-08-07 07:05:07.198
T,100,5198,PAINTS/VARNISHES SUP          ,2024-08-07 07:05:07.198
R,101,4582,"AIRPORTS,FLYING FIEL          ",2024-08-07 07:05:07.198
R,102,7929,"BANDS, ORCHESTRAS             ",2024-08-07 07:05:07.198
R,103,7216,DRY CLEANERS                  ,2024-08-07 07:05:07.198
R,104,7217,CARPET AND UPHOLSTER          ,2024-08-07 07:05:07.198
R,105,7211,LAUNDRY SERVICES-FAM          ,2024-08-07 07:05:07.198
R,106,7033,TRAILER PARKS & CAMP          ,2024-08-07 07:05:07.198
R,107,5998,TENT & AWNING SHOPS           ,2024-08-07 07:05:07.198
R,108,6211,SECURITY BROKERS/DEA          ,2024-08-07 07:05:07.198
R,109,7012,TIMESHARES                    ,2024-08-07 07:05:07.198
R,110,7032,SPORTING AND RECREAT          ,2024-08-07 07:05:07.198
R,111,8099,MEDICAL SERVICES              ,2024-08-07 07:05:07.198
R,112,5732,"RADIO,TELEVISION AND          ",2024-08-07 07:05:07.198
R,113,5719,MISCELLANEOUS HOUSE           ,2024-08-07 07:05:07.198
R,114,5655,"SPORTS APPAREL,RIDIN          ",2024-08-07 07:05:07.198
R,115,5681,FURRIERS AND FUR SHO          ,2024-08-07 07:05:07.198
R,116,5697,"TAILORS,SEAMSTRESS,M          ",2024-08-07 07:05:07.198
R,117,8299,SCHOOLS & EDUCATIONA          ,2024-08-07 07:05:07.198
R,118,8241,CORRESPONDENCE SCHOO          ,2024-08-07 07:05:07.198
R,119,5200,"HOME SUPPLY, WAREHOU          ",2024-08-07 07:05:07.198
R,120,5977,COSMETIC STORES               ,2024-08-07 07:05:07.198
U,121,7995,GAMBLING TRANSACTION          ,2024-08-07 07:05:07.198
T,122,2842,SPECIAL CLEAN/POLISH          ,2024-08-07 07:05:07.198
R,123,8049,"CHIROPODISTS,PODIATR          ",2024-08-07 07:05:07.198
X,124,3014,SAUDI ARABIAN AIRLIN          ,2024-08-07 07:05:07.198
R,125,8211,ELEMENTARY & SECONDA          ,2024-08-07 07:05:07.198
H,126,3520,MERIDIEN                      ,2024-08-07 07:05:07.198
R,127,7999,AMUSEMENT & RECREATI          ,2024-08-07 07:05:07.198
R,128,7993,VIDEO AMUSEMENT GAME          ,2024-08-07 07:05:07.198
R,129,7994,VIDEO GAMES ARCADES/          ,2024-08-07 07:05:07.198
R,130,7996,"AMUSEMENT PARKS,CIRC          ",2024-08-07 07:05:07.198
R,131,7998,"AQUARIUMS,SEAQUARIUM          ",2024-08-07 07:05:07.198
R,132,8031,OSTEOPATHIC PHYSICIA          ,2024-08-07 07:05:07.198
R,133,5599,MISCELLANEOUS AUTOMO          ,2024-08-07 07:05:07.198
T,134,5039,CONSTUCTION MATERIAL          ,2024-08-07 07:05:07.198
R,135,5933,PAWN SHOPS                    ,2024-08-07 07:05:07.198
T,136,5072,HARDWARE EQUIPMENT/S          ,2024-08-07 07:05:07.198
R,137,5699,MISCELLANEOUS APPARE          ,2024-08-07 07:05:07.198
R,138,4214,MOTOR FREIGHT CARRIE          ,2024-08-07 07:05:07.198
R,139,5996,SWIMMING POOLS                ,2024-08-07 07:05:07.198
R,140,5993,CIGAR STORES AND STA          ,2024-08-07 07:05:07.198
O,141,8220,COLLEGE/UNIVERSITY            ,2024-08-07 07:05:07.198
R,142,8398,CHARITABLE CONTRIBUT          ,2024-08-07 07:05:07.198
R,143,5251,HARDWARE STORES               ,2024-08-07 07:05:07.198
H,144,3543,FOUR SEASONS                  ,2024-08-07 07:05:07.198
H,145,3542,ROYAL HOTELS                  ,2024-08-07 07:05:07.198
H,146,3587,DORAL HOTELS                  ,2024-08-07 07:05:07.198
H,147,3595,HOSPITALITY INNS              ,2024-08-07 07:05:07.198
R,148,7549,TOWING SERVICES               ,2024-08-07 07:05:07.198
R,149,9311,TAX PAYMENTS                  ,2024-08-07 07:05:07.198
T,150,5193,FLORIST/NURSERY STOC          ,2024-08-07 07:05:07.198
X,151,3111,BRITISH MIDLAND               ,2024-08-07 07:05:07.198
U,152,6051,"FOREIGN CURRENCY,MON          ",2024-08-07 07:05:07.198
R,153,7932,BILLIARD AND POOL ES          ,2024-08-07 07:05:07.198
,16841,3068,Air Astana,2024-08-07 07:05:07.198
,16861,3069,Sun Country Airlines,2024-08-07 07:05:07.198
,16961,3824,Aria (Aria Resort and Casino),2024-08-07 07:05:07.198
,16981,3825,Vdara (Vdara Hotel and Spa),2024-08-07 07:05:07.198
,17001,3826,Autograph,2024-08-07 07:05:07.198
,17021,3827,Galt House,2024-08-07 07:05:07.198
,17041,3828,Cosmopolitan of Las Vegas,2024-08-07 07:05:07.198
,17061,3829,Country Inn by Carlson,2024-08-07 07:05:07.198
,17081,3830,Park Plaza Hotel,2024-08-07 07:05:07.198
,17101,3831,Waldorf,2024-08-07 07:05:07.198
,17121,5815,"Digital Goods?Audiovisual Media Including Books, Movies, and Music",2024-08-07 07:05:07.198
,17141,5816,Digital Goods?Games,2024-08-07 07:05:07.198
,17161,5817,Digital Goods?Software Applications (Excluding Games),2024-08-07 07:05:07.198
,17181,5818,Digital Goods?Multi-Category,2024-08-07 07:05:07.198
,17201,6538,MoneySend Funding,2024-08-07 07:05:07.198
,17221,6540,POI Funding Transactions (Excluding MoneySend),2024-08-07 07:05:07.198
,17241,7800,Government Owned Lottery (U.S. Region Only),2024-08-07 07:05:07.198
,17261,3600,Saddlebrook Resort?Tampa,2024-08-07 07:05:07.198
,17281,3601,TradeWinds Resorts,2024-08-07 07:05:07.198
,17301,3605,Jurys Doyle Hotel Group,2024-08-07 07:05:07.198
,17321,3606,Jefferson Hotel,2024-08-07 07:05:07.198
,17341,3619,aloft (aloft hotels),2024-08-07 07:05:07.198
,17361,3626,Studio Plus,2024-08-07 07:05:07.198
,17381,3627,Extended Stay America,2024-08-07 07:05:07.198
,17401,3630,Extended Stay Deluxe,2024-08-07 07:05:07.198
,17421,3816,Home2 Suites by Hilton,2024-08-07 07:05:07.198
,17441,3817,Affinia,2024-08-07 07:05:07.198
,17461,3823,Grand Sierra Resort,2024-08-07 07:05:07.198
,18461,999,testo,2024-08-07 07:05:07.198
,18841,1111,test,2024-08-07 07:05:07.198
,18881,1112,qualif,2024-08-07 07:05:07.198
