bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5281,68,1007068,Province 3,1,HETAUDA,100,Hetauda,2024-08-07 07:03:06.983
5282,88,1007088,Province 1,1,HILE,100,Hile,2024-08-07 07:03:06.983
5283,05,1007005,Province 1,1,ILAM,100,Ilam,2024-08-07 07:03:06.983
5284,F9,1007159,Province 5,1,IMILIYA,100,Butwal,2024-08-07 07:03:06.983
5285,O3,1007243,Province 1,1,INARUWA,100,Dharan,2024-08-07 07:03:06.983
5286,04,1007004,Province 1,1,ITAHARI,100,Itahari,2024-08-07 07:03:06.983
5287,N1,1007231,Province 2,1,JAGARNATHPUR,100,Birgunj,2024-08-07 07:03:06.983
5288,B8,1007118,Province 6,1,JAJARKOT,100,Surkhet,2024-08-07 07:03:06.983
5289,31,1007031,Province 2,1,JANAKPUR,100,Janakpur,2024-08-07 07:03:06.983
5290,M1,1007221,Province 5,1,JANGRAWA,100,Tulsipur,2024-08-07 07:03:06.983
5291,03,1007003,Province 3,1,JAWALAKHEL,100,Pulchowk,2024-08-07 07:03:06.983
5292,W2,1007322,Province 2,1,Jeerabhawani,100,Birgunj,2024-08-07 07:03:06.983
5293,80,1007080,Province 2,1,JEETPUR,100,Gaur,2024-08-07 07:03:06.983
5294,K2,1007202,Province 1,1,JHAPA BAZAR,100,Birtamode,2024-08-07 07:03:06.983
5295,D1,1007131,Province 1,1,JHILJHILE,100,Birtamode,2024-08-07 07:03:06.983
5296,89,1007089,Province 1,1,JHUMKA,100,Dharan,2024-08-07 07:03:06.983
5297,F8,1007158,Province 5,1,JITPUR FOUR NUM,100,Butwal,2024-08-07 07:03:06.983
5298,C3,1007123,Province 7,1,JOSHIPUR,100,Dhangadhi,2024-08-07 07:03:06.983
5299,C0,1007120,Province 6,1,JUMLA,100,Surkhet,2024-08-07 07:03:06.983
5300,U9,1007309,Province 6,1,Jumla Road,100,Surkhet,2024-08-07 07:03:06.983
5301,C7,1007127,Province 5,1,JUMRI,100,Tulsipur,2024-08-07 07:03:06.983
5302,D7,1007137,Province 2,1,KABILASI,100,Hariwon,2024-08-07 07:03:06.983
5303,S2,1007282,Province 3,1,Kadaghari,100,Boudha,2024-08-07 07:03:06.983
5304,D0,1007130,Province 1,1,KAKARVITTA,100,Ilam,2024-08-07 07:03:06.983
5305,58,1007058,Province 2,1,KALAIYA,100,Birgunj,2024-08-07 07:03:06.983
5306,10,1007010,Province 3,1,KALANKI,100,Tripureswor,2024-08-07 07:03:06.983
5307,82,1007082,Province 6,1,KALIKOT,100,Surkhet,2024-08-07 07:03:06.983
5308,W1,1007321,Province 3,1,Kalopul,100,Putalisadak,2024-08-07 07:03:06.983
5309,32,1007032,Province 3,1,KAMALADI,100,Corporate Office,2024-08-07 07:03:06.983
5310,60,1007060,Province 3,1,KAPAN,100,Tokha,2024-08-07 07:03:06.983
5311,W7,1007327,Province 2,1,Katahariya,100,Gaur,2024-08-07 07:03:06.983
5312,Q8,1007268,Province 1,1,KATARI,100,Gaighat,2024-08-07 07:03:06.983
5313,21,1007021,Province 3,1,KAUSALTAR,100,Bhaktapur,2024-08-07 07:03:06.983
5314,76,1007076,Province 4,1,KAWASOTI,100,Gaidakot,2024-08-07 07:03:06.983
5315,K3,1007203,Province 1,1,KECHANA KAWAL,100,Birtamode,2024-08-07 07:03:06.983
5316,C8,1007128,Province 1,1,KERABARI,100,Itahari,2024-08-07 07:03:06.983
5317,J4,1007194,Province 3,1,KHADICHAUR,100,Banepa,2024-08-07 07:03:06.983
5318,F6,1007156,Province 5,1,KHAIRENI,100,Sunwal,2024-08-07 07:03:06.983
5319,B1,1007111,Province 5,1,KHAJURA,100,Nepalgunj,2024-08-07 07:03:06.983
5320,I3,1007183,Province 3,1,KHANIKHOLA,100,Battar,2024-08-07 07:03:06.983
5321,V3,1007313,Province 3,1,Khasibazar,100,Tripureswor,2024-08-07 07:03:06.983
5322,Z6,1007356,Province 3,1,Khokana,100,Thankot,2024-08-07 07:03:06.983
5323,27,1007027,Province 3,1,KHUMALTAR,100,Thankot,2024-08-07 07:03:06.983
5324,R5,1007275,Province 3,1,Kilagal,100,New Road,2024-08-07 07:03:06.983
5325,39,1007039,Province 3,1,KIRTIPUR,100,Thankot,2024-08-07 07:03:06.983
5326,59,1007059,Province 5,1,KOHALPUR,100,Nepalgunj,2024-08-07 07:03:06.983
5327,X1,1007331,Province 2,1,Kolhabi,100,Gaur,2024-08-07 07:03:06.983
5328,O9,1007249,Province 3,1,KOTESHWOR,100,Koteshwor,2024-08-07 07:03:06.983
5329,F1,1007151,Province 5,1,KOTHIHAWA,100,Bhairahawa,2024-08-07 07:03:06.983
5330,N4,1007234,Province 4,1,KRISHI,100,Baglung,2024-08-07 07:03:06.983
5331,R6,1007276,Province 3,1,Kuleshwor,100,Tripureswor,2024-08-07 07:03:06.983
5332,79,1007079,Province 4,1,KUSHMA,100,Baglung,2024-08-07 07:03:06.983
5333,J9,1007199,Province 5,1,LABANI,100,Bhairahawa,2024-08-07 07:03:06.983
5334,U2,1007302,Province 3,1,Lagankhel,100,Pulchowk,2024-08-07 07:03:06.983
5335,36,1007036,Province 2,1,LAHAN,100,Lahan,2024-08-07 07:03:06.983
5336,A2,1007102,Province 4,1,LAKESIDEPOKHARA,100,Pokhara,2024-08-07 07:03:06.983
5337,O2,1007242,Province 2,1,LALBANDI,100,Hariwon,2024-08-07 07:03:06.983
5338,51,1007051,Province 5,1,LAMAHI,100,Tulsipur,2024-08-07 07:03:06.983
5339,86,1007086,Province 7,1,LAMKI,100,Dhangadhi,2024-08-07 07:03:06.983
5340,E0,1007140,Province 2,1,LANGADI,100,Birgunj,2024-08-07 07:03:06.983
5341,63,1007063,Province 3,1,LAZIMPAT,100,New Road,2024-08-07 07:03:06.983
5342,73,1007073,Province 4,1,LEKHNATH,100,Pokhara,2024-08-07 07:03:06.983
5343,M4,1007224,Province 1,1,LETANG,100,Damak,2024-08-07 07:03:06.983
5344,Q3,1007263,Province 2,1,Linkroad,100,Birgunj,2024-08-07 07:03:06.983
5345,T7,1007297,Province 5,1,Liwang,100,Tulsipur,2024-08-07 07:03:06.983
5346,D6,1007136,Province 2,1,LOHARPATTI,100,Janakpur,2024-08-07 07:03:06.983
5347,J8,1007198,Province 5,1,LUMBINI,100,Bhairahawa,2024-08-07 07:03:06.983
5348,U5,1007305,Province 3,1,Machhapokhari,100,Maharajgunj,2024-08-07 07:03:06.983
5349,B2,1007112,Province 5,1,MAGRAGADHI,100,Nepalgunj,2024-08-07 07:03:06.983
5350,J1,1007191,Province 3,1,MAHADEVBESI,100,Battar,2024-08-07 07:03:06.983
5351,N6,1007236,Province 2,1,MAHADEWA,100,Lahan,2024-08-07 07:03:06.983
5352,Y5,1007345,Province 2,1,Mahagadhimai,100,Birgunj,2024-08-07 07:03:06.983
5353,Y4,1007344,Province 1,1,Mahalaxmi,100,Hile,2024-08-07 07:03:06.983
5354,13,1007013,Province 3,1,MAHARAJGUNJ,100,Maharajgunj,2024-08-07 07:03:06.983
5355,W9,1007329,Province 5,1,Maharajgunj Kapilvastu,100,Bhairahawa,2024-08-07 07:03:06.983
5356,24,1007024,Province 7,1,MAHENDRANAGAR,100,Dhangadhi,2024-08-07 07:03:06.983
5357,R0,1007270,Province 2,1,MAHENDRANAGAR  DHANUSHA,100,Janakpur,2024-08-07 07:03:06.983
5358,K1,,Province 5,1,MAJHGAWA,100,Bhairahawa,2024-08-07 07:03:06.983
5359,42,1007042,Province 2,1,MALANGAWA,100,Hariwon,2024-08-07 07:03:06.983
5360,H5,1007175,Province 3,1,MANAHARI,100,Hetauda,2024-08-07 07:03:06.983
5361,G3,1007163,Province 3,1,MANAMAIJU,100,Tokha,2024-08-07 07:03:06.983
5362,M8,1007228,Province 1,1,MANEBHANJYANG,100,Hile,2024-08-07 07:03:06.983
5363,V4,1007314,Province 3,1,Mangalbazar,100,Pulchowk,2024-08-07 07:03:06.983
5364,A5,1007105,Province 5,1,MANIGRAM,100,Bhairahawa,2024-08-07 07:03:06.983
