bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5429,T4,1007294,Province 5,1,Rukumkot,100,Tulsipur,2024-08-07 07:03:06.983
5430,41,1007041,Province 3,1,SAATDOBATO,100,Pulchowk,2024-08-07 07:03:06.983
5431,Y6,1007346,Province 2,1,Sabaila,100,Janakpur,2024-08-07 07:03:06.983
5432,N2,1007232,Province 2,1,SAGHARA,100,Janakpur,2024-08-07 07:03:06.983
5433,X8,X8,Province 3,1,Sakhu,100,Boudha,2024-08-07 07:03:06.983
5434,A9,1007109,Province 5,1,SALJHANDI,100,Butwal,2024-08-07 07:03:06.983
5435,T6,1007296,Province 1,1,Salleri,100,Gaighat,2024-08-07 07:03:06.983
5436,17,1007017,Province 3,1,SAMAKHUSHI,100,Maharajgunj,2024-08-07 07:03:06.983
5437,M0,1007220,Province 5,1,SAMJHANA CHOWK,100,Nepalgunj,2024-08-07 07:03:06.983
5438,E1,1007141,Province 2,1,SAMSI,100,Bardibas,2024-08-07 07:03:06.983
5439,U8,1007308,Province 3,1,Sanepa,100,Pulchowk,2024-08-07 07:03:06.983
5440,T1,1007291,Province 7,1,Sanfebagar,100,Dadeldhura,2024-08-07 07:03:06.983
5441,K4,1007204,Province 1,1,SANISCHARE,100,Birtamode,2024-08-07 07:03:06.983
5442,M5,1007225,Province 3,1,Sankhamul,100,New Baneshwor,2024-08-07 07:03:06.983
5443,H2,1007172,Province 3,1,SATUNGAL,100,Thankot,2024-08-07 07:03:06.983
5444,93,1007093,Province 5,1,SAU PHARSATIKAR,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5445,P1,1007251,Province 3,1,SAURAHA,100,Narayangarh,2024-08-07 07:03:06.983
5446,F0,1007150,Province 5,1,SHANKARPUR,100,Sunwal,2024-08-07 07:03:06.983
5447,X3,1007333,Province 5,1,Shantichowk,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5448,L2,1007212,Province 5,1,SHISAHANIYA,100,Tulsipur,2024-08-07 07:03:06.983
5449,L7,1007217,Province 2,1,SIMARA BHAWANIPUR,100,Gaur,2024-08-07 07:03:06.983
5450,R7,1007277,Province 3,1,Sinamangal,100,Koteshwor,2024-08-07 07:03:06.983
5451,C5,1007125,Province 3,1,SINDHULI,100,Banepa,2024-08-07 07:03:06.983
5452,52,1007052,Province 2,1,SIRAHA,100,Lahan,2024-08-07 07:03:06.983
5453,G4,1007164,Province 3,1,SITAPAILA,100,Tokha,2024-08-07 07:03:06.983
5454,Z1,Z1,Province 5,1,Siyari,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5455,P0,1007250,Province 3,1,SORHAKHUTTE,100,Thamel,2024-08-07 07:03:06.983
5456,T8,1007298,Province 6,1,Srinagar,100,Surkhet,2024-08-07 07:03:06.983
5457,28,1007028,Province 3,1,SUKEDHARA,100,Maharajgunj,2024-08-07 07:03:06.983
5458,V9,1007319,Province 3,1,Sundarijal,100,Boudha,2024-08-07 07:03:06.983
5459,K6,1007206,Province 5,1,SUNWAL,100,Sunwal,2024-08-07 07:03:06.983
5460,35,1007035,Province 6,1,SURKHET,100,Surkhet,2024-08-07 07:03:06.983
5461,L0,1007210,Province 1,1,SURUNGA,100,Birtamode,2024-08-07 07:03:06.983
5462,U6,1007306,Province 3,1,Swayambhu,100,Tokha,2024-08-07 07:03:06.983
5463,T0,1007290,Province 3,1,Syafrubesi,100,Battar,2024-08-07 07:03:06.983
5464,K0,1007200,Province 5,1,TAMGHAS,100,Butwal,2024-08-07 07:03:06.983
5465,Z9,1007359,Province 5,1,Tamnagar,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5466,A1,1007101,Province 3,1,TANDI,100,Narayangarh,2024-08-07 07:03:06.983
